company_name,date,edu_req,hiring,job_name,viewed,wages,work_exp,work_place
国中城投第七工程有限公司, 2021-12-28,大专,1,办公室主任,本职位累积查看：836 次,50000--80000  年薪,5年以上,贵州-贵阳市-花溪区
贵州建工集团第一建筑工程有限责任公司, 2021-12-28,大专,2,项目安全员,本职位累积查看：32185 次,5000--12000  月薪,5-20 年,贵州-贵阳市
中国联合网络通信有限公司六盘水市分公司, 2021-12-28,本科,2,解决方案经理,本职位累积查看：114 次,9000--15000  月薪,2年以上,贵州-六盘水市
阳光财产保险股份有限公司贵阳中心支公司, 2021-12-28,不限,若干,车险续期客户经理,本职位累积查看：1553 次,4000--8000  月薪,不限,贵州-贵阳市
贵州西洋实业有限公司, 2021-12-28,中专,4,班长（储备）,本职位累积查看：381 次,5000--7000  月薪,3年以上,贵州-贵阳市-息烽县
贵州民投集团, 2021-12-28,不限,1,财务总监,本职位累积查看：457 次,10000--20000  月薪,不限,贵州-贵阳市-清镇市
中国电建贵阳院生态与环境工程院, 2021-12-28,本科,3,环保管家专职,本职位累积查看：2000 次,3000--9999  月薪,不限,四川-阿坝藏族羌族自治州-马尔康县
俊成建昱工程集团有限公司贵阳分公司, 2021-12-28,大专,若干,实习监理员[只招应届毕业生],本职位累积查看：996 次,1000--2000  月薪,不限,贵州-黔西南布依族苗族自治州-兴义市
清镇市北大附属实验学校, 2021-12-28,不限,2,保洁,本职位累积查看：2820 次,2100--2600  月薪,不限,贵州-贵阳市-清镇市
贵州中投腾达置业有限公司, 2021-12-28,不限,1,财务经理/总监,本职位累积查看：2538 次,10000--15000  月薪,3年以上,贵州-贵阳市
贵州筑学教育咨询有限公司, 2021-12-28,中专,3,销售经理/主管,本职位累积查看：830 次,3500--35000  月薪,1-2 年,贵州-贵阳市-云岩区
贵州益佰制药股份有限公司, 2021-12-28,不限,1,区域经理-遵义,本职位累积查看：4909 次,5000--8000  月薪,不限,贵州-遵义市-汇川区
贵州民投集团, 2021-12-28,不限,1,副总经理,本职位累积查看：248 次,10000--20000  月薪,不限,贵州-黔东南苗族侗族自治州-三穗县
贵州机电（集团）有限公司, 2021-12-28,本科,若干,法务助理,本职位累积查看：1004 次,面议,2年以上,贵州-黔南布依族苗族自治州-惠水县
贵州省交通规划勘察设计研究院股份有限公司, 2021-12-28,硕士,2,（2022届校招）智慧交通设计/研发[只招应届毕业生],本职位累积查看：113 次,8000--10000  月薪,不限,贵州-贵阳市-观山湖区
贵州诚行万林汽车销售服务有限公司, 2021-12-28,大专,8,销售顾问,本职位累积查看：1581 次,6000--20000  月薪,1-2 年,贵州-贵阳市-花溪区
通号工程局集团建设工程有限公司贵州分公司, 2021-12-28,不限,5,安全员,本职位累积查看：7077 次,3000--8000  月薪,不限,贵州
贵州睿豪华展科技有限公司, 2021-12-28,不限,5,中国电信宣传员,本职位累积查看：219 次,5000--12000  月薪,不限,贵州-贵阳市-南明区
平安普惠投资咨询有限公司贵阳分公司, 2021-12-28,大专,50,咨询顾问,本职位累积查看：4869 次,面议,不限,贵州-贵阳市
